Provinsi,Jumlah Sekolah SMP (Negeri),Jumlah Sekolah SMP (Swasta),Jumlah Sekolah SMP (Negeri+Swasta),Jumlah Guru SMP (Negeri),Jumlah Guru SMP (Swasta),Jumlah Guru SMP (Negeri+Swasta),Jumlah Murid SMP (Negeri),Jumlah Murid SMP (Swasta),Jumlah Murid SMP (Negeri+Swasta)
Aceh,902,359,1261,20215,3789,24004,153499,46589,200088
Sumatera Utara,1338,1334,2672,31982,13488,45470,415483,212102,627585
Sumatera Barat,673,180,853,15953,2316,18269,177644,23766,201410
Riau,863,391,1254,16154,4478,20632,202483,55589,258072
Jambi,560,143,703,10144,1440,11584,97895,20376,118271
Sumatera Selatan,904,505,1409,21681,4978,26659,284660,69426,354086
Bengkulu,380,68,448,7250,778,8028,77696,7914,85610
Lampung,709,726,1435,17301,6854,24155,239170,90792,329962
Kepulauan Bangka Belitung,163,62,225,3200,642,3842,52727,9062,61789
Kepulauan Riau,235,175,410,4392,1944,6336,74360,23237,97597
DKI Jakarta,293,785,1078,10115,9551,19666,219543,130223,349766
Jawa Barat,1982,3843,5825,54407,41772,96179,1108220,673266,1781486
Jawa Tengah,1771,1640,3411,51837,19034,70871,913433,278633,1192066
DI Yogyakarta,214,237,451,5732,3355,9087,92111,41026,133137
Jawa Timur,1731,3210,4941,49134,31833,80967,809355,412770,1222125
Banten,573,1008,1581,13693,10081,23774,268385,166003,434388
Bali,273,130,403,9398,1862,11260,160227,27318,187545
Nusa Tenggara Barat,604,422,1026,17109,4040,21149,132157,37428,169585
Nusa Tenggara Timur,1366,438,1804,24558,5932,30490,250759,76353,327112
Kalimantan Barat,1023,340,1363,13999,2719,16718,184443,43632,228075
Kalimantan Tengah,710,148,858,8727,1409,10136,87292,18130,105422
Kalimantan Selatan,523,102,625,8226,1133,9359,97661,13961,111622
Kalimantan Timur,451,232,683,8655,2252,10907,127561,32730,160291
Kalimantan Utara,156,36,192,2480,334,2814,29278,3684,32962
Sulawesi Utara,476,257,733,7334,2032,9366,76311,25518,101829
Sulawesi Tengah,731,137,868,10671,1044,11715,105195,11822,117017
Sulawesi Selatan,1268,436,1704,25904,4298,30202,281298,53106,334404
Sulawesi Tenggara,694,85,779,12732,831,13563,111979,8028,120007
Gorontalo,312,28,340,3999,257,4256,40483,2563,43046
Sulawesi Barat,318,61,379,5155,465,5620,47729,5179,52908
Maluku,542,143,685,8415,1739,10154,72347,16921,89268
Maluku Utara,369,141,510,5391,1227,6618,45773,13125,58898
Papua Barat,238,96,334,3808,1111,4919,37100,13089,50189
Papua,519,224,743,7476,2430,9906,111141,37840,148981
Indonesia,23864,18122,41986,517227,191448,708675,7185398,2701201,9886599
